8001234567890,Rice Basmati 5kg,850.00,50
8001234567891,Cooking Oil 1L,320.00,100
8001234567892,Sugar White 1kg,95.00,150
8001234567893,Wheat Flour 10kg,1200.00,75
8001234567894,Tea Lipton 200g,450.00,80
8001234567895,Milk Full Cream 1L,180.00,60
8001234567896,Eggs Dozen,280.00,120
8001234567897,Chicken 1kg,450.00,90
8001234567898,Potatoes 5kg,250.00,100
8001234567899,Onions 5kg,300.00,110
8001234567900,Tomatoes 1kg,80.00,130
8001234567901,Lentils 1kg,220.00,85
8001234567902,Yogurt 400g,120.00,95
8001234567903,Bread Large,80.00,140
8001234567904,Salt 1kg,40.00,200
